origin,phasevoctor0.25,ola0.25,wsola0.25,phasevoctor0.5,ola0.5,wsola0.5,phasevoctor0.75,ola0.75,wsola0.75,phasevoctor1.0,ola1.0,wsola1.0,phasevoctor1.25,ola1.25,wsola1.25,phasevoctor1.5,ola1.5,wsola1.5,phasevoctor1.75,ola1.75,wsola1.75,phasevoctor2.0,ola2.0,wsola2.0,phasevoctor2.25,ola2.25,wsola2.25,phasevoctor2.5,ola2.5,wsola2.5,phasevoctor2.75,ola2.75,wsola2.75
" ok, google. take a picture.",.,.," ok. google, sure."," ok, google. take a picture."," ok, google. take a picture."," ok, google. take the picture."," ok, google. take a picture."," ok, google. take a picture."," ok, google. take a picture."," ok, google. take a picture."," ok, google. take a picture."," ok, google. take a picture."," ok, google. are you sure?"," ok, google. take a picture.", ok. google a picture.," okay, well, here it is here."," ok, google. take a picture."," ok, google. take a picture.", available in asia.," ok, google. take a picture."," ok, google. take a picture."," okay. well, here."," ok, google. take a picture."," okay, we'll take a picture."," okay, well, thank you."," okay, we'll take a picture."," okay, well, thank you.", are you looking for?," okay, we'll take a picture.", game over., are you looking for?," okay, well, thank you.", picture.
" ok, google navigate to my home.",.,.,., ok. google navigator is my home.,.," ok, google navigator. my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google. now it is my home."," ok, google navigate to my home."," ok, google navigate to my home."," ok, google. now he is my home."," ok, google navigate to my home."," ok, google navigator. my home."," ok, google. now he is my home."," ok, google navigate to my home."," ok, google now a days in my home."," okay. well, now he's my home."," ok, google navigate to my home."," okay, we'll never get to my home."," okay. well, now he's my home."," ok, google. now to get to my home."," okay, well, now i get my home.", he will not leave my home.," okay, we'll never get to my home.", go home.," okay, what the hell?"," okay, well, now i get my home.", came home.
" ok, google turn off the light.",.,.,.," ok, google turn off the light.",.,.," ok, google turn off the light.",.," ok, google turn off the light."," ok, google turn off the light."," ok, google turn off the light."," ok, google turn off the light."," ok, google turn off the light."," ok, google turn off the light."," ok, google to turn off the light."," okay, we'll turn off the light."," ok, google turn off the light."," ok, google turn off the light."," okay, we'll turn off the light."," ok, google turn off the light."," ok, google turn off the light."," okay, you all right."," ok, google turn off the light."," okay, we'll turn off the light.", okay. all right.," ok, google turn off the light.", okay. but like., are you all right?," ok, google turn off the light.", do you like?, are you all right?," okay, we'll turn off the light.", can you like.
 ok. google turn on wireless hotspot.,.,.,., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. google share on wireless hotspot., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. google turn on wireless hotspot.," ok, google and wireless hotspot.", ok. google turn on wireless hotspot.," ok, google for non wireless hotspot."," ok, google china wireless hotspot.", ok. google turn on wireless hotspot., ok. google turn on wireless hotspot.," ok, cool. all right. that's fine.", ok. google turn on wireless hotspot., ok. google turn on wireless hotspot., ok. we'll try this one., ok. google turn on wireless hotspot., ok. google chrome on this spot., ok. we'll try this on., ok. google turn on wireless hotspot.," ok, or not?"," oh, my god!", ok. google turn on wireless hotspot., what are you talking about?," okay, well, thanks a lot."," okay, we'll try it while it's hot.", 25.
" ok, google restart phone now.",.,.," ok, google now.", ok. google research phone now.," ok, google restart phone now."," ok, google restart phone now.", ok. google research phone now.," ok, google restart phone now."," ok, google restart phone now."," ok, google restart phone now."," ok, google restart phone now."," ok, google restart phone now."," ok, google mr. phone now."," ok, google restart phone now."," ok, google restart phone now."," ok, go, mister! go now."," ok, google restart phone now."," ok, google restart phone now."," ok, call me sir. call now."," ok, google restart phone now."," ok, google restart phone now."," okay, we'll circle now."," ok, google restart phone now."," ok, google research on now."," okay, we'll circle now.", ok. we start from now.," ok, let's go now."," ok, we'll stop now.", ok. we start from now., available now.," ok, we'll stop now.", ok. we start from now., people now.
" ok, google read mail.",.,.," ok, google."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail."," ok, google read mail.", ok. google reader mail.," ok, google read mail."," ok, google read mail."," okay, we won't read mail."," ok, google read mail."," ok, google read mail."," ok, you all read mail."," ok, google read mail."," ok, google read mail."," okay, you all right now."," ok, google read mail."," ok, will read mail."," okay, what the hell?"," ok, google read mail."," okay, let me mail."," oh, yeah."," okay, we'll read mail.", what do you want me to?," okay, what the hell?"," ok, we mail.", congrats.
 hey! cortana opened the website., a.,.,.," hey, to open the web of, say.",.," hey, cortana open the website."," hey, cortana open the website.", hey! cortana opened the website.," hey, cortana open the website.", hey! cortana opened the website., hey! cortana opened the website., hey! cortana opened the website.," hey, come over to the website.", hey! cortana opened the website.," hey, cortana open the website.", open the website., open the website., open the website., here come the website., open the website., open the website.," hey, who is it?", pick one up on the website., open the website., who is he?, pick one up on the website., on the website.," hey, who is it?", pick one up on the website., on the website.," hey, guys.", pick it up on the website., wake up! wake up!
" hey, cortana! make it warmer.",.,.,.," hey, to make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, cortana! make it warmer."," hey, we're gonna make it warmer.", a chance to make it warmer.," hey, cortana! make it warmer."," hey, cortana! make it warmer.", it were.," hey, cortana! make it warmer.", make it warmer., they were., think we're gonna make it warmer., we're gonna make it warmer.," hey, come here.", think we're gonna make it warmer., warmer., example.," hey, we're gonna make it warmer.", take me to work., example., take time to make it warmer., take me home., 84., we're gonna make it warmer., for example.
 echo turn off the computer.,.,.,., go turn off the computer., echo turn off the computer., let it go. turn off the computer., and go turn off the computer., echo turn off the computer., let it go. turn off the computer., echo turn off the computer., echo turn off the computer., let it go. turn off the computer., turn off the computer., let it go. turn off the computer., ego turn off the computer., head over here., ego turn off the computer., go turn off the computer., over here., ego turn off the computer., go turn off the computer., and over here., echo turn off the computer., go turn off the computer., hello! from here., go turn off the computer., external computer., over here., echoed throughout the computer., that's right here., thank you., external computer., happy birthday.
 ego call my wife.,.,., and uh., go call my wife.,., and go call my wife., i'll call my wife., and go call my wife., and go call my wife., ego call my wife., ego call my wife., ego call my wife.," hello, all my wife.", go call my wife., ego call my wife.," hello, all my life."," yeah, go call my wife.", ego call my wife., i'll call my wife., go call my wife.," hello, called my wife."," hello, hollywood.", go call my wife.," hello, called my wife.", all right., don't call my wife.," hello, paul. my wife."," oh, my god!", i don't call my wife., welcome back., all right., i don't call my wife., i will call my wife.
