origin,phasevoctor0.25,ola0.25,wsola0.25,phasevoctor0.5,ola0.5,wsola0.5,phasevoctor0.75,ola0.75,wsola0.75,phasevoctor1.0,ola1.0,wsola1.0,phasevoctor1.25,ola1.25,wsola1.25,phasevoctor1.5,ola1.5,wsola1.5,phasevoctor1.75,ola1.75,wsola1.75,phasevoctor2.0,ola2.0,wsola2.0,phasevoctor2.25,ola2.25,wsola2.25,phasevoctor2.5,ola2.5,wsola2.5,phasevoctor2.75,ola2.75,wsola2.75
 take a picture., sure., take the picture., uh., take your picture., take a picture., take a picture., take a picture., take a picture., take a picture., take a picture., take a picture., take a picture., english., take a picture., take a picture., danger., take a picture., take a picture., thank you., take a picture., take a picture., english., take a picture., take picture., thank you., take a picture., tv show., thank you., take picture., thank you., asia., picture., sure.
 navigate to my home.," yeah, my oh.",.," yeah, my hum.", navigate to my home., navigate to my home., navigate to my home., now he is my home., navigate to my home., navigate to my home., navigate to my home., navigate to my home., navigate to my home., now he is my home., navigate to my home., navigate to my home., now he is my home., navigate to my home., navigate my home., now he is my home., navigate to my home., navigate in my home., nice home., navigate to my home., navigate to my home., nice home., navigate to my home., never did my home., nice home., navigate to my home., definitely., nice song., never did my home., never mind.
 turn off the light.,.,., turn off the light., turn off the light.,., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn off the light., turn out the light., turn off the light., turn off the light., turn off the lights., turn off the light., turn off the light., all right., turn off the light., turn off the light., all right., turn off the light., you're stupid., all right., turn off the light., really?, all right., turn off the light., really?
 turn on wireless hotspot.,.,.,., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn the wireless hotspot., turn on wireless hotspot., turn on wireless hotspot., turn the lights on., turn on wireless hotspot., turn on wireless hotspot., turn the lights on., turn on wireless hotspot., turn on wireless hotspot., what's up?, turn on wireless hotspot., hot spot., what's up?, turn on wireless hotspot.," oh, my god!"," oh, my god!", turn on wireless hotspot., turn over.
 restart phone. now.," racer. oh, now.",.," risa, no.", restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., restart phone. now., recycle now., restart phone. now., restart phone. now., recycle now., restart phone. now., restart phone. now., recycle now., restart phone. now., restart phone. now., recycle now., restart phone. now., recycle now., recycle now., we start from now., research now., recycle now., recycle now., we are now.
 read mail., read mel.,.," really, man.", read mail., read mail., read mail., read mail., read mail., read mail., read mail., read mail., read mail., email., read mail., read mail., email., read mail., read mail., email., read mail., read mail., email., read mail., read mail., right now., read mail., retail., email., read mail., really?, yeah., email., real.
 open the website.,", a.",., open the door., open the website., open the website., open the website., open the website., open the website., open the website., open the website., open the website., open the website., own website., open the website., open the website.," oh, that's right.", open the website., open the website.," oh, that's right.", open the website., open the website.," oh, i see.", open the website., on the website.," oh, my god!", open the website., open your eyes.," oh, my god!", open the website.," oh, my god!", ok., open the website.," oh, my god!"
 make it warmer.,.,., navigate to warm., make it warmer., make it warmer., make it warmer., made it warmer., make it warmer., make it warmer., make it warmer., make it warmer., make it warmer., a warmer., make it warmer., make it warmer., make it warmer., make it warmer., make it warmer., make it warmer., make it warmer., made it warmer., they were., make it warmer., made it warmer., me more., make it warmer., need warmer., never., make it warmer., me to., before., make it warmer., they are.
 turn off the computer.,", a.", turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., turn off the computer., throughout the computer., turn off the computer., turn off the computer., out here., turn off the computer., turn off the computer., out here., turn off the computer., turn off the computer., out here., turn off the computer., turn on the computer., out here., turn off the computer., you're not here.," oh, yeah.", turn off the computer., right here., i love you., welcome you to., in the future.
 call my wife., call no lies., come on. my wife!, come on., call my wise., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., call my wife., go away., call my wife., call my wife., all right., call my wife., all my life., all right., call my wife.," oh, my god!", all right., call my wife., ok.," oh, my god!", call my wife., ok.
