phasevector,,,,,,,,,,
speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,39889.98353,47270.70284,43178.19598,59820.82256,49354.63219,36470.51256,43480.37835,36385.68061,41470.24074,33257.09907
0.5,27270.31326,32851.55022,28721.84456,40919.19339,32719.96127,25158.46562,29929.89373,24872.48467,29874.11369,25020.19891
0.75,15341.70022,17762.00406,16196.84578,22380.05891,18325.81018,12909.63944,15790.56392,12916.9094,13521.79557,11255.2481
1,6894.579502,7194.088583,7093.317165,9916.535975,7741.315554,5795.199345,7578.903696,6130.545111,6367.819378,5110.082439
1.25,15578.1284,17628.37558,16959.31645,23578.6073,20792.50317,15199.58966,16296.06245,15093.81553,14160.07767,11146.20436
1.5,20048.65495,19063.94558,18150.03629,27954.58218,23109.5349,16452.81537,20276.90435,16074.93949,15363.63084,12489.61278
1.75,20398.95976,22159.90662,19310.77789,29449.80415,25652.36162,16745.07893,22454.60101,17941.16145,18728.17395,14205.02008
2,21338.67938,22972.68274,21903.02848,32429.79544,28627.06355,19352.60284,24335.99923,18890.38514,19629.22292,16756.55591
2.25,22641.22649,24957.4812,23625.68875,35426.05408,29517.46732,21491.04748,25520.48769,22035.14721,20686.51939,16553.8563
2.5,24730.28242,26894.29167,25482.67706,37596.82672,33411.48242,21552.0749,28252.04857,23599.96127,21407.55704,18823.73055
2.75,25831.23259,27272.20816,27152.70988,38042.2148,32871.46407,22157.71522,30632.85301,24937.46317,22557.98428,20489.57138
ola,,,,,,,,,,
speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,65846.29345,76425.41307,64550.40739,97575.31061,74418.56404,56461.1822,69484.45619,60619.30339,56722.4453,47041.04592
0.5,23343.10544,24636.16592,22289.57385,33970.27771,25951.13898,19066.99373,23985.06081,20881.02259,19888.70699,16218.56611
0.75,12732.22645,15104.5153,12864.48588,18159.58726,15447.87725,11283.35912,13523.61283,11626.82363,11646.82961,9742.7176
1,6.341848604,6.84751536,7.628275603,7.672217935,7.491670296,6.938226357,7.306898788,7.147511695,7.6511175,6.991039567
1.25,8297.261086,9643.755246,9050.065624,13144.30128,9633.714867,7632.144096,9190.456871,8258.292633,7897.479525,7106.22871
1.5,10462.2658,12559.74202,11385.09717,16033.52082,12984.41887,10269.58698,12226.72511,10300.50805,10944.8403,8805.620125
1.75,13588.46692,14649.65449,13979.10618,19920.7971,15068.56865,12482.0368,15298.08357,13179.32995,12132.33926,10447.41943
2,15862.63199,18233.29892,16966.92962,23204.79516,18826.95633,14423.72622,17755.13505,14058.05698,14635.02437,11777.54816
2.25,17228.82336,21408.52782,19882.23189,26442.41832,21073.1498,15269.83199,18868.58732,16349.33398,16796.59708,13176.87331
2.5,19179.36314,21587.25536,20563.69537,29084.18214,23614.27027,16172.73896,19978.43497,18566.14972,18163.69894,14775.93191
2.75,21134.34568,21458.7508,21964.08221,29322.67243,25147.84154,17070.55742,21705.51268,19157.6418,18219.51464,15311.75919
wsola,,,,,,,,,,
speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,25556.08481,29455.5782,29007.30894,43997.53325,34243.39323,24325.47439,32193.80794,27487.51404,26221.64222,21300.92285
0.5,12562.19441,14195.54294,14438.99194,21630.22762,16892.65847,11763.54878,15051.91326,12398.37655,12642.92756,9924.309899
0.75,9288.731129,9833.873469,9516.773854,14569.06882,11223.11933,8079.980729,8037.192007,7074.290081,8804.69533,6971.24287
1,7148.826429,7125.881876,7356.147631,7933.053686,7667.055442,6527.695885,7561.281182,6099.988455,6629.823338,4252.961335
1.25,10350.19709,9362.390837,9655.373532,13387.23834,9523.716858,7590.660001,9261.01022,7594.629243,7328.467483,5544.796974
1.5,11294.01006,11463.19506,11468.44412,16141.84605,12137.6999,9800.362093,11087.40348,10459.68743,8653.297137,6408.127556
1.75,13664.0901,14068.39891,13991.19225,21648.79307,14818.64188,12247.50928,14305.84126,11837.58035,11269.54466,9203.405083
2,15484.72046,17870.60967,16469.31933,23059.28992,18710.23392,14507.5896,16804.72983,13206.48233,12877.71397,11562.57223
2.25,21580.59762,25255.06015,23279.73825,35430.35891,27788.26965,21826.26063,25252.62943,20079.86157,19484.09068,16385.86049
2.5,21483.77346,23228.52265,24601.63098,34600.58934,30455.93429,24124.95596,23328.67481,20987.20696,22424.20587,17797.32089
2.75,23765.39661,28511.56597,25075.00216,38664.20037,33944.12548,24777.35029,31807.29675,26007.64498,23197.17633,18619.79597
