speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,39889.98353385925,47270.70283794403,43178.19598007202,59820.82255935669,49354.632190704346,36470.51255607605,43480.37835121155,36385.68061065674,41470.24073791504,33257.099066734314
0.5,27270.313259124756,32851.5502204895,28721.84456062317,40919.19338989258,32719.961272239685,25158.465621948242,29929.893726348877,24872.484674453735,29874.11368560791,25020.198905944824
0.75,15341.700218200684,17762.004062652588,16196.845777511597,22380.05891418457,18325.810180664062,12909.639444351196,15790.563915252686,12916.909400939941,13521.795574188232,11255.248096466064
1.0,6894.579502105713,7194.088582992554,7093.317165374756,9916.535974502563,7741.315553665161,5795.19934463501,7578.903696060181,6130.545110702515,6367.81937789917,5110.082439422607
1.25,15578.128402709961,17628.375579833984,16959.31644821167,23578.607299804688,20792.503173828125,15199.589656829834,16296.062450408936,15093.815528869629,14160.077671051025,11146.204364776611
1.5,20048.654945373535,19063.94557952881,18150.03628540039,27954.582176208496,23109.534896850586,16452.815368652344,20276.90435028076,16074.939491271973,15363.630836486816,12489.612777709961
1.75,20398.959762573242,22159.906616210938,19310.77788543701,29449.804153442383,25652.361618041992,16745.07893371582,22454.601013183594,17941.161445617676,18728.173950195312,14205.020080566406
2.0,21338.67938232422,22972.682739257812,21903.028480529785,32429.795440673828,28627.06354522705,19352.602836608887,24335.999229431152,18890.385139465332,19629.222915649414,16756.555908203125
2.25,22641.226486206055,24957.481201171875,23625.688751220703,35426.05407714844,29517.467315673828,21491.047477722168,25520.48769378662,22035.14720916748,20686.519386291504,16553.856300354004
2.5,24730.282424926758,26894.29167175293,25482.67706298828,37596.826721191406,33411.482421875,21552.074897766113,28252.048568725586,23599.961265563965,21407.557037353516,18823.730545043945
2.75,25831.23258972168,27272.20816040039,27152.709884643555,38042.21479797363,32871.46406555176,22157.715217590332,30632.85301208496,24937.463165283203,22557.98427581787,20489.571380615234
