speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,32858.70378112793,45731.25566864014,36426.54873275757,66631.63649368286,43650.817989349365,26739.793689727783,38649.484870910645,32496.124410629272,46417.96859741211,28430.758281707764
0.5,11629.26142501831,15337.611351013184,12873.989521026611,22539.81016921997,14885.596839904785,8632.827140808105,13817.950386047363,11085.478309631348,15636.15446472168,10094.92956161499
0.75,6495.64533996582,9247.184200286865,7413.288769721985,11658.686168670654,9497.017848968506,5962.942085266113,7862.956400871277,6619.935495376587,8847.676063537598,6033.547203063965
1.0,6.318344384431839,5.22273688018322,4.8018006682395935,6.3250985741615295,7.7631170228123665,4.8202408738434315,6.339564770460129,5.818663984537125,7.260012477636337,5.445800080895424
1.25,5339.959869384766,5907.1497592926025,5396.044116973877,9295.293291091919,7190.530082702637,5010.583145141602,6405.673809051514,4924.276821136475,5835.029495239258,5212.795104980469
1.5,6357.107753753662,7724.26594543457,7614.037422180176,10906.473052978516,7721.317802429199,4687.861127853394,6710.976993560791,5128.494213104248,7648.347816467285,5391.254051208496
1.75,7270.651229858398,9909.263565063477,8074.78409576416,13630.115516662598,9957.287204742432,6844.655174255371,9142.65535736084,6855.995941162109,9313.594055175781,7068.1911277771
2.0,9149.746215820312,11164.67911529541,10104.652046203613,15206.652965545654,11537.6351852417,6971.629539489746,10416.341743469238,7549.4479331970215,11791.898139953613,7806.504959106445
2.25,9926.748931884766,12549.492568969727,11279.793502807617,17202.68857574463,12852.400764465332,8173.041374206543,13019.306579589844,8182.19539642334,12895.70435333252,9231.110633850098
2.5,11254.638732910156,14120.311492919922,11974.029472351074,18831.430953979492,14216.095512390137,8656.160232543945,13250.412887573242,10995.292388916016,14080.183082580566,9610.971466064453
2.75,11849.100769042969,13860.370468139648,13799.618629455566,21214.64012145996,15692.350914001465,9495.340713500977,14536.348731994629,10435.859031677246,15035.689865112305,11046.162757873535
