speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,22498.643421173096,30520.916496276855,24822.295011520386,41207.690185546875,29094.012643814087,17947.28742980957,26391.525609970093,21981.90330696106,27444.808143615723,19950.01833486557
0.5,14290.72900390625,20454.394193649292,17206.81183242798,28398.04055404663,18861.65151977539,11465.311225891113,18955.46746444702,15015.935249328613,20064.2890625,13246.360008239746
0.75,9321.420318603516,12498.123764038086,9692.30897140503,14427.536489009857,11887.754215240479,7429.287292480469,11149.13652420044,8118.436004638672,10584.003811836243,7618.168704986572
1.0,5276.843143463135,5745.23589515686,4950.788026809692,6496.052356719971,6508.237855911255,3953.0152854919434,5370.2789669036865,3147.2966737747192,6018.108224868774,4048.8841247558594
1.25,10082.49006652832,11161.398902893066,11681.866889953613,15226.589004516602,13752.046493530273,7363.223403930664,12296.549003601074,8349.433868408203,12167.57559967041,9168.082290649414
1.5,11892.04476928711,12469.960182189941,12564.896682739258,18325.098251342773,15047.834396362305,8871.675987243652,12877.787300109863,9894.375038146973,12983.615371704102,9219.974533081055
1.75,12436.02505493164,13461.999984741211,13768.124298095703,21617.71785736084,17957.40422821045,9777.974517822266,14903.014221191406,10045.856155395508,14978.723182678223,10396.331283569336
2.0,13401.62385559082,14219.543502807617,14442.454483032227,23052.403076171875,18614.025047302246,11431.68571472168,16686.094886779785,10536.240692138672,15812.291694641113,12008.205169677734
2.25,15157.281936645508,16271.282188415527,15339.23812866211,23885.141082763672,21570.004928588867,13095.64453125,16832.892471313477,12665.938179016113,18688.469360351562,13400.748542785645
2.5,14916.91323852539,16545.657020568848,17511.69612121582,25079.57359313965,22117.339241027832,12320.413673400879,17490.70050048828,11520.24739074707,19111.585083007812,15168.11408996582
2.75,15153.646469116211,18703.624938964844,16277.907348632812,27016.6827545166,21546.615783691406,12864.033920288086,21482.03140258789,13693.468063354492,19156.58819580078,14421.595764160156
