speed,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
0.25,15687.746379375458,20077.2382106781,17407.499539852142,30684.394664764404,21495.917004585266,11194.746141910553,18115.048798561096,14054.536418437958,21686.726740837097,14508.757706165314
0.5,7002.526950836182,10747.234991073608,8613.89424610138,14603.119770050049,10928.82435131073,6805.616161346436,8739.060041427612,7086.388423919678,10231.3352060318,6708.899015426636
0.75,5462.64378452301,7407.566749572754,5504.502071857452,8449.508626461029,7016.108769416809,4182.696859359741,4444.523694038391,4541.662089347839,6653.9059047698975,4452.356755256653
1.0,2456.5094451904297,5271.417909622192,5144.64989566803,5428.195630073547,5447.406088352203,4404.455362319946,4787.56659412384,3311.9119794368744,6178.20322227478,3982.4376015663147
1.25,4881.864195823669,6440.630797386169,5840.9965353012085,7790.151980876923,8494.399522781372,5057.839079856873,6507.183629989624,4174.063795566559,7537.255702972412,6850.850341796875
1.5,6947.508945465088,8172.176694869995,8172.5332317352295,10242.53614616394,9268.822422027588,5954.534659385681,8255.333032608032,5884.761685371399,8776.171911239624,6483.484657287598
1.75,8731.186222076416,9538.906385421753,10151.574325561523,13722.521949768066,11541.811395645142,7456.990249633789,9086.516669511795,6735.629772186279,10711.498676300049,8045.0023193359375
2.0,10052.329433441162,10314.72487449646,11219.457479476929,15845.314266204834,14291.771797180176,8404.357288360596,11574.137657165527,7399.150733947754,12188.664226531982,8752.745538711548
2.25,13108.506618499756,15370.065223693848,17822.02352142334,28104.51909637451,19527.99070739746,11860.520294189453,17474.820808410645,12529.302223205566,18654.362159729004,14404.861000061035
2.5,14000.839794158936,14856.757949829102,18392.64917755127,25412.556938171387,21413.299354553223,13127.058776855469,17700.586669921875,12958.92658996582,18473.664516448975,14754.957458496094
2.75,14867.345565795898,20016.807647705078,21617.492668151855,27737.17971420288,24498.98863220215,13924.088088989258,17897.889724731445,12983.380195617676,19601.88816833496,16248.14306640625
